Modelo,Pooling,out_emb_size,Nhid,STS12,STS13,STS14,STS15,STS16
bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.41652733249194435), 'wmean': np.float64(0.3910856352730679)}, 'spearman': {'mean': np.float64(0.43153055947038454), 'wmean': np.float64(0.4159913805620668)}}","{'pearson': {'mean': np.float64(0.31465685666322835), 'wmean': np.float64(0.3756091297882668)}, 'spearman': {'mean': np.float64(0.31775856463190927), 'wmean': np.float64(0.374774903409922)}}","{'pearson': {'mean': np.float64(0.4354155580444495), 'wmean': np.float64(0.4346067042194465)}, 'spearman': {'mean': np.float64(0.4272686796210588), 'wmean': np.float64(0.42637931147446495)}}","{'pearson': {'mean': np.float64(0.48246199399210904), 'wmean': np.float64(0.4834708762692801)}, 'spearman': {'mean': np.float64(0.4959654899887339), 'wmean': np.float64(0.49527965327572193)}}","{'pearson': {'mean': np.float64(0.5168394995747796), 'wmean': np.float64(0.5250077494731127)}, 'spearman': {'mean': np.float64(0.5423229066959719), 'wmean': np.float64(0.5505614132244013)}}"
bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.5284925366243376), 'wmean': np.float64(0.5195184810577292)}, 'spearman': {'mean': np.float64(0.5370028771617024), 'wmean': np.float64(0.5329446871964143)}}","{'pearson': {'mean': np.float64(0.46946244857057956), 'wmean': np.float64(0.5241342287978626)}, 'spearman': {'mean': np.float64(0.47396743341906494), 'wmean': np.float64(0.5230970530106613)}}","{'pearson': {'mean': np.float64(0.5810207693502614), 'wmean': np.float64(0.5835412940919084)}, 'spearman': {'mean': np.float64(0.5698706819844271), 'wmean': np.float64(0.5715406794331119)}}","{'pearson': {'mean': np.float64(0.6426733416973608), 'wmean': np.float64(0.6525873611615276)}, 'spearman': {'mean': np.float64(0.6495861758221417), 'wmean': np.float64(0.6576121612115702)}}","{'pearson': {'mean': np.float64(0.6163110816437081), 'wmean': np.float64(0.6230058730154697)}, 'spearman': {'mean': np.float64(0.6293699947440212), 'wmean': np.float64(0.6367741040395073)}}"
bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.4585139240210371), 'wmean': np.float64(0.4447785746747087)}, 'spearman': {'mean': np.float64(0.47827999180281466), 'wmean': np.float64(0.4703852122044319)}}","{'pearson': {'mean': np.float64(0.35750011404279364), 'wmean': np.float64(0.4377136114085976)}, 'spearman': {'mean': np.float64(0.35776392552490055), 'wmean': np.float64(0.4367772660586988)}}","{'pearson': {'mean': np.float64(0.5041204560014585), 'wmean': np.float64(0.4963177973349096)}, 'spearman': {'mean': np.float64(0.49789798556445675), 'wmean': np.float64(0.4914234487791454)}}","{'pearson': {'mean': np.float64(0.543090404678799), 'wmean': np.float64(0.5532926741264763)}, 'spearman': {'mean': np.float64(0.5521357033362246), 'wmean': np.float64(0.5626736984185039)}}","{'pearson': {'mean': np.float64(0.5343576688462581), 'wmean': np.float64(0.5432343483763233)}, 'spearman': {'mean': np.float64(0.5489728038638655), 'wmean': np.float64(0.5580164990797855)}}"
bert-base,DY3_LYR-7,torch.Size([2304]),0,"{'pearson': {'mean': np.float64(0.4336717376514641), 'wmean': np.float64(0.40460794767398245)}, 'spearman': {'mean': np.float64(0.4745185767912449), 'wmean': np.float64(0.4414775020923818)}}","{'pearson': {'mean': np.float64(0.22371667435160703), 'wmean': np.float64(0.27480350115798036)}, 'spearman': {'mean': np.float64(0.24293049227513733), 'wmean': np.float64(0.2955994882486502)}}","{'pearson': {'mean': np.float64(0.38683619475468073), 'wmean': np.float64(0.40459770602773953)}, 'spearman': {'mean': np.float64(0.40682883733882674), 'wmean': np.float64(0.4214938668490547)}}","{'pearson': {'mean': np.float64(0.5051738691387305), 'wmean': np.float64(0.5331894910595726)}, 'spearman': {'mean': np.float64(0.5301129921326206), 'wmean': np.float64(0.5528171992791743)}}","{'pearson': {'mean': np.float64(0.41610402638521016), 'wmean': np.float64(0.4262021222022363)}, 'spearman': {'mean': np.float64(0.43338655814147425), 'wmean': np.float64(0.44464482408719247)}}"
bert-base,DY3-NS_LYR-7,torch.Size([2304]),0,"{'pearson': {'mean': np.float64(0.44507752401286194), 'wmean': np.float64(0.41717119066433195)}, 'spearman': {'mean': np.float64(0.4904757026644416), 'wmean': np.float64(0.4586242081822183)}}","{'pearson': {'mean': np.float64(0.26332633455574006), 'wmean': np.float64(0.3234314534865473)}, 'spearman': {'mean': np.float64(0.2720178016542079), 'wmean': np.float64(0.3362732119471317)}}","{'pearson': {'mean': np.float64(0.4157662489509999), 'wmean': np.float64(0.4360905492017668)}, 'spearman': {'mean': np.float64(0.4283019165605091), 'wmean': np.float64(0.4453932381454934)}}","{'pearson': {'mean': np.float64(0.5097323456719113), 'wmean': np.float64(0.5373294079972264)}, 'spearman': {'mean': np.float64(0.5322506714246011), 'wmean': np.float64(0.5547200765175865)}}","{'pearson': {'mean': np.float64(0.4458330293187093), 'wmean': np.float64(0.4574146371487105)}, 'spearman': {'mean': np.float64(0.459202366610903), 'wmean': np.float64(0.4714529636295481)}}"
bert-base,DY5_LYR-7,torch.Size([3840]),0,"{'pearson': {'mean': np.float64(0.38991888958282284), 'wmean': np.float64(0.3572415355162866)}, 'spearman': {'mean': np.float64(0.43321990438654456), 'wmean': np.float64(0.397317858761065)}}","{'pearson': {'mean': np.float64(0.18531232069116643), 'wmean': np.float64(0.22326123905391115)}, 'spearman': {'mean': np.float64(0.1990920463587321), 'wmean': np.float64(0.2426484004486169)}}","{'pearson': {'mean': np.float64(0.31508016545371603), 'wmean': np.float64(0.35034179473823474)}, 'spearman': {'mean': np.float64(0.3186845772443205), 'wmean': np.float64(0.3479550387644605)}}","{'pearson': {'mean': np.float64(0.4361446552691583), 'wmean': np.float64(0.45973407900476504)}, 'spearman': {'mean': np.float64(0.4379788897516768), 'wmean': np.float64(0.4585012448447278)}}","{'pearson': {'mean': np.float64(0.2919699312283574), 'wmean': np.float64(0.29548535107677937)}, 'spearman': {'mean': np.float64(0.29648519009339613), 'wmean': np.float64(0.30113321129507675)}}"
bert-base,DY5-NS_LYR-7,torch.Size([3840]),0,"{'pearson': {'mean': np.float64(0.4106377689221713), 'wmean': np.float64(0.3804114316357932)}, 'spearman': {'mean': np.float64(0.4442232241911707), 'wmean': np.float64(0.40740285730318787)}}","{'pearson': {'mean': np.float64(0.23832618854149534), 'wmean': np.float64(0.2842103338666911)}, 'spearman': {'mean': np.float64(0.22776115240110995), 'wmean': np.float64(0.2769400675298761)}}","{'pearson': {'mean': np.float64(0.32114902834910897), 'wmean': np.float64(0.3301770666962235)}, 'spearman': {'mean': np.float64(0.33160153947676635), 'wmean': np.float64(0.3384985398308385)}}","{'pearson': {'mean': np.float64(0.4603215245738177), 'wmean': np.float64(0.48506194170024436)}, 'spearman': {'mean': np.float64(0.46525703841842125), 'wmean': np.float64(0.48731115197542474)}}","{'pearson': {'mean': np.float64(0.3620713022070684), 'wmean': np.float64(0.3701850415677345)}, 'spearman': {'mean': np.float64(0.35597951906702224), 'wmean': np.float64(0.3646741687534689)}}"
bert-base,CLS_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.256438836570149), 'wmean': np.float64(0.22111488661911455)}, 'spearman': {'mean': np.float64(0.2909505253648769), 'wmean': np.float64(0.2628159268276791)}}","{'pearson': {'mean': np.float64(0.17146708521448326), 'wmean': np.float64(0.2433740116497345)}, 'spearman': {'mean': np.float64(0.1793713467928184), 'wmean': np.float64(0.2514647545438501)}}","{'pearson': {'mean': np.float64(0.25311319033634855), 'wmean': np.float64(0.25810342918294393)}, 'spearman': {'mean': np.float64(0.2673441378648486), 'wmean': np.float64(0.2692691175317027)}}","{'pearson': {'mean': np.float64(0.27047382255047275), 'wmean': np.float64(0.2814544771003719)}, 'spearman': {'mean': np.float64(0.30952961676257673), 'wmean': np.float64(0.31529783373512194)}}","{'pearson': {'mean': np.float64(0.33670808788101514), 'wmean': np.float64(0.34783087516945116)}, 'spearman': {'mean': np.float64(0.4139086653823334), 'wmean': np.float64(0.4245720891176946)}}"
bert-base,AVG_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5165313227987104), 'wmean': np.float64(0.5042550200809517)}, 'spearman': {'mean': np.float64(0.5260944059554825), 'wmean': np.float64(0.5185662575082223)}}","{'pearson': {'mean': np.float64(0.4589868071139776), 'wmean': np.float64(0.5102288306524043)}, 'spearman': {'mean': np.float64(0.4633355059990036), 'wmean': np.float64(0.5082906958482432)}}","{'pearson': {'mean': np.float64(0.5673310710164438), 'wmean': np.float64(0.5699117746161245)}, 'spearman': {'mean': np.float64(0.5527733715311175), 'wmean': np.float64(0.5544322010908146)}}","{'pearson': {'mean': np.float64(0.6329366093686108), 'wmean': np.float64(0.6407228935077012)}, 'spearman': {'mean': np.float64(0.6383286781035761), 'wmean': np.float64(0.644528901394726)}}","{'pearson': {'mean': np.float64(0.6089706076687766), 'wmean': np.float64(0.6169971774676295)}, 'spearman': {'mean': np.float64(0.620164495640599), 'wmean': np.float64(0.6289194011333401)}}"
bert-base,SUM_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5165313496355537), 'wmean': np.float64(0.5042550441580728)}, 'spearman': {'mean': np.float64(0.5262204854767447), 'wmean': np.float64(0.518645717090056)}}","{'pearson': {'mean': np.float64(0.4589868489082743), 'wmean': np.float64(0.5102288469549282)}, 'spearman': {'mean': np.float64(0.4633355046432049), 'wmean': np.float64(0.5082906938145452)}}","{'pearson': {'mean': np.float64(0.5673310453731919), 'wmean': np.float64(0.5699117575053572)}, 'spearman': {'mean': np.float64(0.5527740643418543), 'wmean': np.float64(0.5544326987905245)}}","{'pearson': {'mean': np.float64(0.6329365916048031), 'wmean': np.float64(0.6407228725887782)}, 'spearman': {'mean': np.float64(0.6383283850272692), 'wmean': np.float64(0.6445285350493425)}}","{'pearson': {'mean': np.float64(0.6089705385360793), 'wmean': np.float64(0.6169971138037671)}, 'spearman': {'mean': np.float64(0.620164495640599), 'wmean': np.float64(0.6289194011333401)}}"
bert-base,MAX_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.4923374097691749), 'wmean': np.float64(0.4844096442397836)}, 'spearman': {'mean': np.float64(0.510164397607898), 'wmean': np.float64(0.5057450514741268)}}","{'pearson': {'mean': np.float64(0.4068738589438648), 'wmean': np.float64(0.49660517614157934)}, 'spearman': {'mean': np.float64(0.40849575499048923), 'wmean': np.float64(0.49238840541592027)}}","{'pearson': {'mean': np.float64(0.5577605192741757), 'wmean': np.float64(0.5537533636485495)}, 'spearman': {'mean': np.float64(0.5485393265547572), 'wmean': np.float64(0.5453870827458619)}}","{'pearson': {'mean': np.float64(0.6054333085787331), 'wmean': np.float64(0.6248310657982487)}, 'spearman': {'mean': np.float64(0.6119138834792989), 'wmean': np.float64(0.6312979087490254)}}","{'pearson': {'mean': np.float64(0.5631589946899658), 'wmean': np.float64(0.5722294532308839)}, 'spearman': {'mean': np.float64(0.5802160708083309), 'wmean': np.float64(0.5892529937387314)}}"
bert-base,AVG-NS_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5204922263028972), 'wmean': np.float64(0.5094979671529941)}, 'spearman': {'mean': np.float64(0.5301247038892603), 'wmean': np.float64(0.5235265919505652)}}","{'pearson': {'mean': np.float64(0.47018057459087603), 'wmean': np.float64(0.5237820497884514)}, 'spearman': {'mean': np.float64(0.475369902327013), 'wmean': np.float64(0.5221526253778025)}}","{'pearson': {'mean': np.float64(0.5761029754297088), 'wmean': np.float64(0.5789467703668881)}, 'spearman': {'mean': np.float64(0.5625323192004444), 'wmean': np.float64(0.5641122129592312)}}","{'pearson': {'mean': np.float64(0.6368211683253754), 'wmean': np.float64(0.6467187090112054)}, 'spearman': {'mean': np.float64(0.6430776605798022), 'wmean': np.float64(0.6512889166811646)}}","{'pearson': {'mean': np.float64(0.6049333954972036), 'wmean': np.float64(0.6125741622098501)}, 'spearman': {'mean': np.float64(0.6194994633078604), 'wmean': np.float64(0.6278758570558826)}}"
bert-base,SUM-NS_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5204921587510316), 'wmean': np.float64(0.5094979037123674)}, 'spearman': {'mean': np.float64(0.5300790525301), 'wmean': np.float64(0.5234957607396078)}}","{'pearson': {'mean': np.float64(0.4701805870310758), 'wmean': np.float64(0.5237820750000726)}, 'spearman': {'mean': np.float64(0.4753657549005677), 'wmean': np.float64(0.5221464042381346)}}","{'pearson': {'mean': np.float64(0.5761029659300988), 'wmean': np.float64(0.5789467499580639)}, 'spearman': {'mean': np.float64(0.5625322719671366), 'wmean': np.float64(0.5641122786478949)}}","{'pearson': {'mean': np.float64(0.6368211660763413), 'wmean': np.float64(0.6467187074773216)}, 'spearman': {'mean': np.float64(0.6430776474672715), 'wmean': np.float64(0.6512889002905011)}}","{'pearson': {'mean': np.float64(0.6049334865340513), 'wmean': np.float64(0.6125742465466969)}, 'spearman': {'mean': np.float64(0.6194994633078604), 'wmean': np.float64(0.6278758570558826)}}"
bert-base,MAX-NS_LYR-8,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.47919535323165513), 'wmean': np.float64(0.4723665868259572)}, 'spearman': {'mean': np.float64(0.5017906134348343), 'wmean': np.float64(0.4981727787519036)}}","{'pearson': {'mean': np.float64(0.4101876576556857), 'wmean': np.float64(0.4980719939558112)}, 'spearman': {'mean': np.float64(0.410981457841814), 'wmean': np.float64(0.49429612091535546)}}","{'pearson': {'mean': np.float64(0.5486284694432078), 'wmean': np.float64(0.5451341752641375)}, 'spearman': {'mean': np.float64(0.5426366266016195), 'wmean': np.float64(0.5395275217977472)}}","{'pearson': {'mean': np.float64(0.5905036895778386), 'wmean': np.float64(0.6129647485299918)}, 'spearman': {'mean': np.float64(0.599740244511107), 'wmean': np.float64(0.6215395329632855)}}","{'pearson': {'mean': np.float64(0.5429046326468389), 'wmean': np.float64(0.5516137398128473)}, 'spearman': {'mean': np.float64(0.5652985965359147), 'wmean': np.float64(0.5740775747433884)}}"
bert-base,CLS+AVG_LYR-8,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.38440945789357467), 'wmean': np.float64(0.35637424022535763)}, 'spearman': {'mean': np.float64(0.41272161529357715), 'wmean': np.float64(0.39559593660789144)}}","{'pearson': {'mean': np.float64(0.2931152927988203), 'wmean': np.float64(0.36670147192653074)}, 'spearman': {'mean': np.float64(0.2975325870494127), 'wmean': np.float64(0.3658593628448939)}}","{'pearson': {'mean': np.float64(0.405236802667819), 'wmean': np.float64(0.4071256875491697)}, 'spearman': {'mean': np.float64(0.4050139025525337), 'wmean': np.float64(0.4052972718377202)}}","{'pearson': {'mean': np.float64(0.45055052113711086), 'wmean': np.float64(0.4577914750262878)}, 'spearman': {'mean': np.float64(0.46989942562984377), 'wmean': np.float64(0.4732954551494928)}}","{'pearson': {'mean': np.float64(0.48828600221646656), 'wmean': np.float64(0.4979661491069417)}, 'spearman': {'mean': np.float64(0.5263600255425323), 'wmean': np.float64(0.5361089552146342)}}"
bert-base,CLS+SUM_LYR-8,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.515016279030467), 'wmean': np.float64(0.5020146566217855)}, 'spearman': {'mean': np.float64(0.5249488141883306), 'wmean': np.float64(0.5170765752288969)}}","{'pearson': {'mean': np.float64(0.45398132063792257), 'wmean': np.float64(0.505749306318812)}, 'spearman': {'mean': np.float64(0.4579612356031237), 'wmean': np.float64(0.5036976973416682)}}","{'pearson': {'mean': np.float64(0.5639753157322152), 'wmean': np.float64(0.566299876611212)}, 'spearman': {'mean': np.float64(0.5498746166657432), 'wmean': np.float64(0.5514177370545008)}}","{'pearson': {'mean': np.float64(0.6317676927324329), 'wmean': np.float64(0.639097858127219)}, 'spearman': {'mean': np.float64(0.6367626258055669), 'wmean': np.float64(0.6425811103840264)}}","{'pearson': {'mean': np.float64(0.6086010219231289), 'wmean': np.float64(0.6167421707038871)}, 'spearman': {'mean': np.float64(0.6190358736830663), 'wmean': np.float64(0.6279035718144538)}}"
bert-base,CLS+MAX_LYR-8,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.4466802886913472), 'wmean': np.float64(0.42786238721720987)}, 'spearman': {'mean': np.float64(0.4660649015422246), 'wmean': np.float64(0.4540365749057176)}}","{'pearson': {'mean': np.float64(0.34055683060075775), 'wmean': np.float64(0.42759753096027553)}, 'spearman': {'mean': np.float64(0.34157813619993754), 'wmean': np.float64(0.42505007438994236)}}","{'pearson': {'mean': np.float64(0.48287149453406103), 'wmean': np.float64(0.47626416069399935)}, 'spearman': {'mean': np.float64(0.47838007023160084), 'wmean': np.float64(0.4728113918602358)}}","{'pearson': {'mean': np.float64(0.5333917251630882), 'wmean': np.float64(0.5448360992131148)}, 'spearman': {'mean': np.float64(0.5433358778450377), 'wmean': np.float64(0.5544536505043584)}}","{'pearson': {'mean': np.float64(0.5333614581360515), 'wmean': np.float64(0.5434494203065344)}, 'spearman': {'mean': np.float64(0.5459620091114287), 'wmean': np.float64(0.556115403257548)}}"
